id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
jurassic-park,Jurassic Park,Jurassic Park,spielberg-steven,1993-06-09,126,USA,Science-Fiction-Adventure-Action,http://www.imdb.com/title/tt0107290/?ref_=ttrel_rel_tt,lc0UehYemQA,Trailer,,1,
schindler-s-list,Schindler's List,Schindler's List,spielberg-steven,1993-11-30,195,USA,War-History-Drama,http://www.imdb.com/title/tt0108052/?ref_=ttrel_rel_tt,M5FpB6qDGAE,Trailer,,1,
saving-private-ryan,Saving Private Ryan,Saving Private Ryan,spielberg-steven,1998-07-21,169,USA,War-Drama-Action,http://www.imdb.com/title/tt0120815/?ref_=ttrel_rel_tt,RYID71hYHzg,Trailer,,1,
holy-matrimony_1943,Holy Matrimony,Holy Matrimony,stahl-john-m,1943-08-27,87,USA,Comedy-Drama,http://www.imdb.com/title/tt0036009/?ref_=ttrel_rel_tt,aNllGjoAJFY,clip,,1,
the-walls-of-jericho,The Walls of Jericho,The Walls of Jericho,stahl-john-m,1948-08-04,106,USA,Drama,http://www.imdb.com/title/tt0040949/?ref_=ttrel_rel_tt,/-g83x17kk6Q,clip,,1,
wall-e,Wall-E,Wall-E,stanton-andrew,2008-06-21,98,USA,Animated-Adventure-Comedy,http://www.imdb.com/title/tt0910970/?ref_=ttrel_rel_tt,L7nu-6H6POY,Trailer,,1,
more-the-merrier_1943,The More the Merrier,The More the Merrier,stevens-george,1943-05-13,104,USA,Comedy-Romance-War ,http://www.imdb.com/title/tt0036172/?ref_=ttrel_rel_tt,OTW-xhEw56A,clip,,1,
jane-eyre_1943,Jane Eyre,Jane Eyre,stevenson-robert,1943-12-24,96,USA,Romance-Drama,http://www.imdb.com/title/tt0036969/?ref_=ttrel_rel_tt,fupUKF9SEy4,Trailer,,1,
last-days-of-disco,The Last Days of Disco,The Last Days of Disco,stillman-whit,1998-05-29,113,USA,Drama-Comedy,http://www.imdb.com/title/tt0120728/?ref_=ttrel_rel_tt,Klq5xq7pQuE,Trailer,,1,
law-and-jake-wade,The Law and Jake Wade,The Law and Jake Wade,sturges-john,1958-06-06,86,USA,Western,http://www.imdb.com/title/tt0051848/?ref_=ttrel_rel_tt,7kEAvC3buRE,Trailer,,1,
sullivan-s-travels,Sullivan's Travels,Sullivan's Travels,sturges-preston,1941-12-05,91,USA,Adventure-Comedy-Drama,http://www.imdb.com/title/tt0034240/?ref_=ttrel_rel_tt,,,,0,
unfaithfully-yours_1948,Unfaithfully Yours,Unfaithfully Yours,sturges-preston,1948-11-05,105,USA,Comedy,http://www.imdb.com/title/tt0040919/?ref_=ttrel_rel_tt,D7x1lOcxlZw,Trailer,,1,
alice_1988,Alice,Neco z Alenky,svankmajer-jan,1988-08-03,86,Czechoslovakia-Switzerland-UK-West Germany,Fantasy-Animated,http://www.imdb.com/title/tt0095715/?ref_=ttrel_rel_tt,1rri69wKUUQ,clip,,1,
presto_2008,Presto,Presto,sweetland-doug,2008-06-10,5,USA,Animation-Short-Comedy,http://www.imdb.com/title/tt1245104/?ref_=ttrel_rel_tt,D4Dnm6dkOVI,Trailer,,1,
hanussen,Hanussen,Hanussen,szabo-istvan,1988-05-20,140,Hungary-West-Germany-Austria,Drama-History,http://www.imdb.com/title/tt0095276/?ref_=fn_al_tt_1,KeVdDVSM7K0,Hanussen (1988) - Hypnosis Scene,,1,
grave-of-the-fireflies,Grave of the Fireflies,Hotaru no haka,takahata-isao,1988-04-16,89,Japan,Animated-War-Drama,http://www.imdb.com/title/tt0095327/?ref_=ttrel_rel_tt,4vPeTSRd580,Trailer,,1,
